Ilce,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
Pamukkale,5,200,180,2. Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,6950000,,
Pamukkale,2,53,50,2. Kat,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1249000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,130,120,5. Kat,35,Kombi,5,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,1175000,Arsa,Kuzey
Pamukkale,4,120,110,2. Kat,25,Kombi,4,Uygun,Eşyalı,1,Sıfır,Evet,5000000,Kat Mülkiyeti,Güney
Pamukkale,4,148,110,3. Kat,27,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2250000,,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,165,148,2. Kat,27,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2300000,Kat İrtifakı,
Pamukkale,4,175,170,3. Kat,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
Pamukkale,5,170,160,3. Kat,12,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,120,110,0. Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1850000,,
Pamukkale,4,120,105,2. Kat,36,Merkezi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,1799000,Kat Mülkiyeti,"Kuzey, Güney"
Pamukkale,5,200,190,2. Kat,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,6500000,Kat Mülkiyeti,
Pamukkale,3,61,60,2. Kat,11,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1550000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,90,80,0. Kat,9,Yerden Isıtma,3,Uygun,Bilinmiyor,1,İkinci El,Hayır,1800000,Kat İrtifakı,
Pamukkale,4,165,155,1. Kat,15,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2900000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,5,201,167,1. Kat,13,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,3290000,Kat Mülkiyeti,"Doğu, Batı"
Pamukkale,4,135,120,3. Kat,21,Kat Kaloriferi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3500000,,"Güney, Doğu, Batı"
Pamukkale,2,75,65,2. Kat,3,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1109000,Kat Mülkiyeti,Batı
Pamukkale,3,120,100,2. Kat,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3075000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,4,155,150,1. Kat,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,140,135,2. Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1950000,,
Pamukkale,3,115,110,-3. Kat,5,Merkezi,4,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,2500000,Kat Mülkiyeti,
Pamukkale,4,140,135,1. Kat,15,Kombi,5,Uygun,Eşyalı Değil,2,İkinci El,Hayır,1750000,,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,165,155,3. Kat,16,Kat Kaloriferi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,3,75,73,5. Kat,7,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1425000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,2,55,50,6. Kat,5,Yerden Isıtma,7,Uygun,Eşyalı,1,İkinci El,Evet,1449000,Kat Mülkiyeti,
Pamukkale,2,50,45,2. Kat,0,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1900000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,140,130,2. Kat,15,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1875000,Kat Mülkiyeti,
Pamukkale,3,120,110,0. Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1800000,,
Pamukkale,3,120,95,2. Kat,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1650000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,2,60,50,2. Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1575000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,100,95,2. Kat,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
Pamukkale,4,160,150,6. Kat,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000,Kat Mülkiyeti,
Pamukkale,3,110,100,4. Kat,31,Kombi,6,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,3300000,Kat Mülkiyeti,
Pamukkale,4,140,135,2. Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,4000000,,
Pamukkale,5,210,190,3. Kat,31,Kombi,5,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,4750000,Kat Mülkiyeti,Güney
Pamukkale,3,125,115,2. Kat,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,2550000,Kat Mülkiyeti,
Pamukkale,7,200,180,3. Kat,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,İkinci El,Hayır,4050000,Kat İrtifakı,"Kuzey, Doğu"
Pamukkale,4,125,110,3. Kat,11,Kombi,3,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,3349000,Kat Mülkiyeti,"Güney, Doğu, Batı"
Pamukkale,3,100,90,3. Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,1550000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,65,60,0. Kat,9,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1590000,Kat İrtifakı,
Pamukkale,4,150,145,2. Kat,30,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1750000,,
Pamukkale,3,100,90,2. Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,167,157,0. Kat,6,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3600000,Kat Mülkiyeti,
Pamukkale,3,125,115,2. Kat,35,Klima,8,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,1449999,Kat İrtifakı,Güney
Pamukkale,10,400,320,2. Kat,9,Kombi,4,Uygun,Eşyalı Değil,4,İkinci El,Evet,5400000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,7,305,300,6. Kat,12,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,3300000,,
Pamukkale,4,155,140,0. Kat,15,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2600000,Kat Mülkiyeti,
Pamukkale,4,135,130,3. Kat,28,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,160,150,-1. Kat,15,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1425000,,
Pamukkale,2,50,48,0. Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1200000,,
Pamukkale,3,115,100,2. Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,120,105,7. Kat,21,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2050000,Kat Mülkiyeti,
Pamukkale,3,75,70,2. Kat,6,Kombi,2,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1900000,,
Pamukkale,2,60,55,2. Kat,4,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1375000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,70,65,2. Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1280000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,3,110,100,4. Kat,33,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3300000,Kat Mülkiyeti,
Pamukkale,4,210,190,1. Kat,31,Kombi,5,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,4950000,Kat Mülkiyeti,Güney
Pamukkale,3,120,110,3. Kat,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1609000,Kat Mülkiyeti,
Pamukkale,3,70,65,3. Kat,4,Merkezi (Pay Ölçer),3,Uygun,Eşyalı,1,İkinci El,Evet,1750000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,120,110,2. Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1900000,Kat Mülkiyeti,
Pamukkale,4,130,120,1. Kat,36,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1450000,Kat İrtifakı,
Pamukkale,3,70,65,0. Kat,7,Merkezi,4,Bilinmiyor,Eşyalı,1,Sıfır,Hayır,1275000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,2,50,45,2. Kat,2,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,2,55,54,4. Kat,6,Kombi,7,Uygun,Eşyalı,1,Sıfır,Evet,1390000,Kat Mülkiyeti,Güney
Pamukkale,2,55,45,3. Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1099000,,
Pamukkale,4,140,130,2. Kat,35,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2000000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,4,160,147,2. Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,5090000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,120,110,0. Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1750000,,
Pamukkale,4,140,120,3. Kat,15,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,1700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,100,85,3. Kat,30,Klima,3,Uygun,Eşyalı,1,İkinci El,Hayır,1200000,Kat Mülkiyeti,"Kuzey, Güney"
Pamukkale,3,70,60,0. Kat,3,Kombi,3,Uygun değil,Eşyalı,1,İkinci El,Hayır,1450000,Kat Mülkiyeti,"Kuzey, Doğu"
Pamukkale,3,105,100,1. Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,5,220,210,2. Kat,12,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,5100000,,
Pamukkale,3,70,65,2. Kat,5,Kat Kaloriferi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1600000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,5,175,160,3. Kat,26,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2250000,Kat Mülkiyeti,
Pamukkale,4,155,150,2. Kat,30,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1900000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,155,140,2. Kat,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2650000,Kat Mülkiyeti,
Pamukkale,3,110,105,0. Kat,35,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1350000,Kat Mülkiyeti,"Doğu, Batı"
Pamukkale,3,130,125,4. Kat,30,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1450000,,
Pamukkale,6,210,200,3. Kat,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3290000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,120,110,2. Kat,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1890000,,
Pamukkale,4,147,130,2. Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,5090000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,2,55,50,3. Kat,6,Kombi,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1099000,,
Pamukkale,4,140,130,5. Kat,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2000000,Kat İrtifakı,
Pamukkale,4,150,135,2. Kat,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2410000,Kat Mülkiyeti,
Pamukkale,4,165,155,2. Kat,17,Kat Kaloriferi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,4,180,170,4. Kat,20,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
Pamukkale,3,115,90,2. Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,2,45,40,0. Kat,11,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1049000,Kat Mülkiyeti,
Pamukkale,6,220,190,7. Kat,15,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Evet,3200000,,
Pamukkale,2,63,60,4. Kat,10,Kombi,7,Uygun,Eşyalı,1,İkinci El,Evet,1390000,,
Pamukkale,2,65,60,1. Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1020000,Kat Mülkiyeti,Güney
Pamukkale,6,240,220,-3. Kat,36,Merkezi,3,Uygun,Eşyalı Değil,2,İkinci El,Evet,3400000,Kat Mülkiyeti,"Güney, Batı"
Pamukkale,2,50,48,1. Kat,4,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,1375000,Kat Mülkiyeti,"Güney, Doğu, Batı"
Pamukkale,4,130,120,4. Kat,33,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1600000,Kat Mülkiyeti,"Kuzey, Doğu"
Pamukkale,3,120,110,2. Kat,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2500000,,
Pamukkale,4,200,185,3. Kat,3,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,4750000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,1,30,22,0. Kat,5,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Hayır,850000,Kat Mülkiyeti,
Pamukkale,3,100,95,0. Kat,1,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,2100000,Kat Mülkiyeti,Doğu
Pamukkale,3,120,110,2. Kat,9,Kombi,4,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,2200000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,133,130,5. Kat,26,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1800000,,
Pamukkale,2,55,45,2. Kat,4,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1075000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,70,65,2. Kat,8,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,2250000,,
Pamukkale,4,180,170,4. Kat,20,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
Pamukkale,3,125,100,4. Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,115,110,3. Kat,12,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1799000,Kat İrtifakı,Batı
Pamukkale,4,130,114,0. Kat,6,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2445000,Kat İrtifakı,Batı
Pamukkale,3,124,120,2. Kat,6,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2050000,Kat Mülkiyeti,
Pamukkale,4,160,150,0. Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2950000,Kat Mülkiyeti,
Pamukkale,4,144,135,2. Kat,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,4500000,Kat İrtifakı,"Güney, Doğu, Batı"
Pamukkale,7,210,200,4. Kat,13,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2750000,Kat Mülkiyeti,Güney
Pamukkale,3,100,90,1. Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2350000,Kat Mülkiyeti,
Pamukkale,4,150,140,2. Kat,16,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2480000,,
Pamukkale,4,200,173,2. Kat,17,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,3650000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,170,100,1. Kat,31,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1425000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,3,60,50,1. Kat,2,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,2299000,Kat İrtifakı,Güney
Pamukkale,2,50,48,0. Kat,6,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1335000,Kat Mülkiyeti,
Pamukkale,3,110,95,0. Kat,22,Merkezi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1675000,Kat Mülkiyeti,"Doğu, Batı"
Pamukkale,2,50,40,3. Kat,4,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,970000,Kat Mülkiyeti,
Pamukkale,3,140,100,2. Kat,5,Kombi,2,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2850000,Kat Mülkiyeti,
Pamukkale,3,65,61,2. Kat,6,Kombi,3,Uygun,Eşyalı,1,Sıfır,Evet,1590000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,7,250,230,8. Kat,8,Kombi,8,Bilinmiyor,Eşyalı Değil,2,İkinci El,Hayır,3000000,Kat Mülkiyeti,"Doğu, Batı"
Pamukkale,4,150,140,2. Kat,25,Merkezi (Pay Ölçer),9,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2600000,Kat Mülkiyeti,"Kuzey, Güney"
Pamukkale,2,55,50,2. Kat,7,Klima,4,Uygun,Eşyalı,1,İkinci El,Hayır,1350000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,130,125,1. Kat,26,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1950000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,4,140,130,0. Kat,32,Merkezi (Pay Ölçer),3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu"
Pamukkale,4,160,140,1. Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,4500000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,3,110,100,1. Kat,0,Kombi,3,Uygun,Bilinmiyor,1,Sıfır,Evet,2999000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,4,140,130,3. Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,3200000,Kat İrtifakı,"Kuzey, Güney, Doğu"
Pamukkale,4,150,140,1. Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3800000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,110,90,1. Kat,1,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1450000,Kat Mülkiyeti,
Pamukkale,4,130,120,2. Kat,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2825000,Kat Mülkiyeti,
Pamukkale,5,170,160,2. Kat,22,Kombi,3,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,2450000,Kat İrtifakı,
Pamukkale,4,170,160,6. Kat,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2398000,Kat Mülkiyeti,"Doğu, Batı"
Pamukkale,2,30,25,0. Kat,2,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,868000,Kat Mülkiyeti,Doğu
Pamukkale,2,55,45,0. Kat,0,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1290000,Kat İrtifakı,Güney
Pamukkale,4,175,165,1. Kat,16,Merkezi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,5200000,Kat Mülkiyeti,Güney
Pamukkale,4,155,150,1. Kat,8,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Evet,4100000,Kat Mülkiyeti,"Doğu, Batı"
Pamukkale,2,55,52,2. Kat,0,Yerden Isıtma,3,Uygun,Eşyalı,1,Sıfır,Evet,1650000,Kat Mülkiyeti,Güney
Pamukkale,3,109,100,2. Kat,20,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1890000,,
Pamukkale,3,85,75,2. Kat,8,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1400000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,110,100,4. Kat,0,Yerden Isıtma,7,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,70,65,1. Kat,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1550000,Kat İrtifakı,
Pamukkale,4,150,128,2. Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2950000,Kat İrtifakı,"Güney, Doğu, Batı"
